Name,Comment,Likes
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Light八神,I love Star Wars ❤⚡,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Patrick Wi,I NEED TO SEE THIS,0
Михаил Пашковский,Kylo Ren is throwing tantrums even in the trailer. Some people just cant change.,79
Jonathan,"&quot;Let the past die...&quot;<br><br>Yeah, should have told JJ Abrams that when he made A New Hope 2. In any case... trailer looks good, here&#39;s to a better film than the last.",1
Galen Marek,Hello there,0
Dolphingon Dolphingon,I must watch it,0
Deraxus,"The only reason  why i would have light sabers is to go to Kim Jong-un and say &quot; i have bigger weapons, Fatso!&quot;",1
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Gedalia Koehler,"Luke: did you ever hear the tragedy of darth Plagueis the wise?<br>Rey: nah fam<br>Luke: I thought not, it&#39;s not a story a jedi would tell you. <br>Rey: so can I hear it <br>Luke: no, I&#39;m a Jedi",0
Mavelonius,Brilliant 👏 Looking forward to watching this master piece 😍😍,0
Wayne Winky,So will this be the one where Spock dies at the end of the film  ;),1
Jedidiah Elias,How many views do you think this will get? My guess is at least 40 million.,0
Grim SorrowxX,"Pretty much <a href=""http://exactly.like/"">exactly.like</a> the last one really. And weeee alll knowww how that one went ;(",0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
KANI,CGI Leia???,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Alex Smith,How does this sound<br>Luke refuses to train rey. Rey turns to kylo and snoke for training.<br>Snoke favours rey causing kylo to become jealous. Kylo hates snoke so joins the rebellion whilst rey (now fully trained by snoke) becomes snokes new apprentice,0
Eddie Artistic,What if that’s Kylo from when he betrayed Luke and asked him to join him? He doesn’t have the cheek scar. It is also night and it looks like fire is burning in the back.,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Luiz Marinho,Im R.I.P,0
Redeemer Nigoohaem,"Yes !!! <br>Empower women , and use star wars to duuuuuuu it !!! <br><br> Disney is awsome .",1
DEEZ NUTS,MEGA NUT,0
Gattsu,Awesome &lt;(O_O)&gt;...,0
Hound831 ,That scene with Leia had me gripped. Unfortunately in order to join the Dark side you most cut off the ones you love. No matter how painfully it is. Because through pain you gain true power.,32
SAJL Zeijlemaker,From what I have read sofar ... people seem to fall in love with the Porg!<br><br>Chewie and Porgie sitting in a tree...,0
Rumiraaj,Not as epic as padmavati trailer :),1
The Ender Rebel,TAKE MY MONEY!!!!,0
Young Kappa,"Rey dies, and that leaves Luke as the eponymous last Jedi. Please. Please...",0
Wolf,Needs Jar Jar.,0
The Rozan,This series is dark!,0
ZP,"If Carrie Frances Fisher is cgi, it must be, i just have nothing to say. We crossed the border of &quot;Uncanny Valley&quot;.",0
ZygmanFroid,Rei is Bae,0
Specsome Ideas,I want Christopher Nolan to direct star wars trilogy so badly 😭😭😭,2
Emma Dilemma,Oh please god no reylo,0
Jonathan Buchanan,I... must... SEE THIS!!! Can&#39;t wait :),0
boxertest,something something darkside,2
Warhammered,"I&#39;m starting to think the force is corrupting, by nature. That&#39;s why Jedi have to abandon relationships and keep emotions at bay... I&#39;m hoping Rei becomes a sith.",0
jefferson 1933,"Well shite, this is going to look dark...",0
Corcon,I have to go to the bathroom. I refuse. I won&#39;t and you can&#39;t make me!,0
garyfromhungary,Vader is the father of Luke,0
Team SMASH,Luke skywalker 😍,0
Lucy,My Christmas present,0
bkujundzic2,fulfill your destiny... flawless victory MORTAL KOMBATTTT,0
Gage Smith - InGodWeRock,The little 8 year old in me is screaming!,0
Caz Madeus,Oh hell yeah cant wait for pacific rim uprising too,0
MetalGames95,"Please don&#39;t be lazily written! Don&#39;t be a copy of The Empire Strikes Back, I saw those walkers and sighed.. And please, don&#39;t write Rey as a Mary Sue again.",7
kabyss87,The Traitor is back!,0
Paul Pogba,Just epic,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Буль,chewbaka the best,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
JaguarAnimations,Jar Jar better be in this movie.,298
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Fahd Mahmood,Sick,0
ItalianPolaroid,Porcoddio che bello,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
TheSilk,"That Finn vs Phasma though, I&#39;m so hyped for that",0
koriakin,too much flashy CGI :(,2
oNy,The black guy pretends to be evil only to fight that silver trooper,0
Raflx,Jesus Christ!!!!!<br><br><br><br><br><br><br><br>I cant Wait!!!!,0
lcemens,AHHHHH! That trailer showed too much!!,0
Infosmercial,Please let Rey convert to the dark side. Please let Rey convert to the dark side. Please let Rey convert to the dark side.,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Star of Eden,luke dies..he confirmed it in an interview when he said he is without a job now after is acting in this movie,0
Neko Urabe,Please dont be another Empire Strikes Back,0
Evil J,Sorry I see Ray and it kills it for me. I see Kylo and I just want to laugh. Sorry the last movie was a mess and a train wreck. Last good Star Wars were Rogue one and Rebels....  (I do hope this one is better).,0
M. José,Luke seems to have gone real mad,0
Dains kingdom,Ok I think that was confused me is sith have yellow eyes why doesn&#39;t Kylo Ren and have yellow eyes is it just me?,0
Jeremiah Enrico,I LOVE THIS,0
Carlos P. Castaneda,God Bless Carrie Fisher&#39;s Soul.,0
M K,She is obi wan kenobi’s daughtherrrr,0
ritoradio,There is a stalker outside my window but I dont care cos im watching this masterpeice,0
Renyaan,Rey:i need someone to show me my place in all this.<br>Kylo takes rey to the kitchen.,0
Ren War,From the certain point of view. Rey is succumb to the darkside. Then the force sensitive Finn is the hero of the Galaxy what we call him is the last Jedi,0
Oh Yeah yeah,"<a href=""http://www.youtube.com/results?search_query=%23notbetterthanthebeemovie"">#notbetterthanthebeemovie</a>",1
Na Bo,,0
Clone Commander Bly,Spoiler Alert: Mace Windu survives and comes to destory kylo ren,1
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
winterh,This spoils alot..,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
Jet,"I really want to see Rey as a grey Jedi, haven’t seen one of them in a long while",0
Pokernik,OH MY GOD LIGHTSABERS AND THE FALCO N AND OH MY GOD I KNOW THESE THINGS,0
Bitter Bold,"Meeeh, I don&#39;t know. Just another Star Wars film as usual.",0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,0
R Family,Truly looks spectacular! I can’t help but think the trailer is a swerve though.<br><br>Anyone else thinking the same?<br><br>Is Kylo going to finish off his mother now? I cannot wait for December <br><br>🔥,0
Timbojones Underwood,Jedigasm,0
Soup,Is Ben/Kylo Ren joining the Light?,0
Kain's Gaming Channel,So kylo turns good and ray turns bad I&#39;m guessing. And one of the originals DIES.,2
Lorenzo Canals,"Wait... was that an ice planet with at-at&#39;s? Is that the episode where the young jedi padawan starts his/her training and learns things about her family? <br>No seriously, i cant take another reboot",44
Kris pea bacon,Im about as excited to watch this movie as i am watching water boil ..,0
The SupaSpartan,Looks alright aside from those cringy creatures that kept popping up.,0
P HW,Got my tickets.  I think the end of this trailer is a misdirection. I think she is talking to Luke when she says that. I can&#39;t see a reason for Rey to trust Kylo after he killed Han.,0
Fading Matrix,YES!!!!!!,2
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,2
lokismorioh,I&#39;ve never clicked on anything as quick as lightning before.,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,2
Nitin Kamble,who got goosebumps at the end of the trailer,1
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,2
Simon Desnoyers,Lit,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,2
Yes,Yeah!,0
atlnigga,It is NOW true: REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO REYLO,2
Adji Dharma,"I always wondering , what if anakin killed by younglings in jedi temple",3
Nikolas Cotsinis,For the 2% of people reading this I hope your dreams become true ❤️ My dream is to be come a YouTuber with 1k subs 👍,1
